id,modality,category,signal,signal_id,target_primitive,controlled_property,transform,determinism_class,source_file,determinism_evidence,perceptual_basis
M001,visual,spectral_band,currentBands[0],S01,SubBassRipple,emission gate,"emit if (B[0] * dialect.bandMask[0]) > 0.15",pure,Views/Visualizer/Textures/SubBassRippleTexture.swift,Single threshold compare; no internal state.,Sub-bass below ~15% energy is inaudible to most hearing aids; gate prevents idle ring spawn.
M002,visual,spectral_band,currentBands[0],S01,SubBassRipple,inter-ring interval (s),"interval = 1.2 - 0.6 * B[0]",pure,Views/Visualizer/Textures/SubBassRippleTexture.swift,Linear function of one scalar; no random.,Higher sub-bass density => faster pulse cadence (perceptual: louder bass feels faster).
M003,visual,spectral_band,currentBands[0],S01,SubBassRipple,ring alpha,"alpha = (0.08 + 0.14 * B[0]) * envelope(age)",pure,Views/Visualizer/Textures/SubBassRippleTexture.swift,"Closed-form in (B[0] at birth, age).",Loudness => visual weight; preserves linearity between input intensity and visual emphasis.
M004,visual,spectral_band,currentBands[0],S01,SubBassRipple,ring color,"color = lerp(scheme.atmosphere, scheme.primary, min(1, B[0]))",pure,Views/Visualizer/Textures/SubBassRippleTexture.swift,HSB lerp with shortest-path hue interpolation.,Quiet sub-bass reads as gravity (atmosphere); loud sub-bass takes the song's primary mood color.
M005,visual,spectral_band,currentBands[0],S01,VelvetDarkness,floor-glow intensity,"intensity = max(B[0] * bandMask[0], breath * 0.25); breath = 0.5 + 0.5*sin(t*2pi*(0.4 + A*0.5))",integrative,Views/Visualizer/Textures/VelvetDarknessTexture.swift,"Closed-form in (B[0], wall clock, A); breath is purely time-driven.","Sub-bass overrides slow heartbeat-rate breath when loud; floor stays alive when bass is silent."
M006,visual,spectral_band,currentBands[1],S02,Smoke,bass-mass scalar,"mass = min(1, B[1]*bandMask[1] + B[2]*bandMask[2]*0.5); gate at mass > 0.04",pure,Views/Visualizer/Textures/SmokeTexture.swift,Closed-form algebra; no random branch.,Bass body is felt mass; gate prevents idle volumetrics in silent passages.
M007,visual,spectral_band,currentBands[1],S02,Smoke,upper-layer rise (px),"riseLift = B[1] * 0.08 * size.height (layers >= 2 only)",pure,Views/Visualizer/Textures/SmokeTexture.swift,Per-frame multiplication; bottom layers stay anchored.,"Embodiment: louder bass lifts the felt mass off the floor; lower layers anchor for grounding."
M008,visual,spectral_band,currentBands[1],S02,Smoke,brightness lift,"brightness = atmo.b * (1.0 + 0.25 * B[1]); clamped at 1.0",pure,Views/Visualizer/Textures/SmokeTexture.swift,Scalar product with clamp.,Bass causes the floor to glow rather than stay matte; perceptual reinforcement of impact.
M009,visual,spectral_band,currentBands[2],S03,Smoke,bass-mass component,"contributes 0.5 * B[2] * bandMask[2] to mass scalar",pure,Views/Visualizer/Textures/SmokeTexture.swift,Linear coefficient.,Low-mid extends bass-body upward without claiming a separate texture.
M010,visual,spectral_band,"currentBands[2..4]","S03,S04,S05",InkBleed,ambient emission gate,"midEnergy = (B[2]*m[2] + B[3]*m[3] + B[4]*m[4]*0.6)/3; gate = midEnergy * HR; emit if gate > 0.15",pure,Views/Visualizer/Textures/InkBleedTexture.swift,Algebraic combination of 3 bands and HR; no state.,Mids carry melody; harmonic-weighted gate prevents bleeds during noise washes.
