id,modality,what_you_see_or_feel,what_in_the_music_drives_it,how_we_measure_it,analysis_library,why_this_choice
E01,visual,Concentric rings expanding from the bottom-left and bottom-right corners,"The deepest sub-bass frequencies — what you feel when an 808, a kick drum's body, or a sub-bass drop hits","Energy in the 20-60 Hz range, extracted using a Mel spectrogram (a frequency-energy heat-map of the audio over time)","librosa.feature.melspectrogram — the standard frequency-band analysis used in music classification research and audio fingerprinting","Sub-bass is felt as physical pressure, not heard as pitch. An expanding ring is the most direct possible visual metaphor for a pressure wave radiating outward — the same shape used to depict sonar pulses or shockwaves."
E02,visual,Soft blurred mass drifting upward at the bottom of the screen,"Bass and low-mid energy — the rhythm-section foundation (bass guitar, kick drum, low synth pads)","Energy in the 60-500 Hz range from the Mel spectrogram",librosa.feature.melspectrogram,"Bass is felt as mass and weight, not as a distinct shape. Edgeless, blurred, mass-without-silhouette imagery (smoke, fog) communicates ""weight"" without imposing a specific form."
E03,visual,The smoke layers slosh side-to-side when the music gets noisy and stay still when it's musical,"How ""musical"" vs ""noisy"" the texture is at the moment","Harmonic-percussive separation — the audio is mathematically split into its sustained-tonal part and its noise-percussive part, then the ratio is taken","librosa.effects.hpss — a standard music-analysis technique for separating melodic from percussive content","Noisy moments feel chaotic; harmonic moments feel grounded. Lateral instability vs. stillness in the smoke directly mirrors that perceptual feel."
E04,visual,A slow pulsing glow at the bottom of the screen — like the room is breathing,"Sub-bass presence + the song's overall energy/intensity level","Sub-bass energy combined with a sine-wave breath whose rate scales with arousal (the music's energy estimate)","librosa.feature.melspectrogram + a music emotion model that estimates arousal","Music never really stops between hits — there's always low-frequency presence. A breathing glow keeps the bottom of the screen alive even between events, and breath rate scaling with energy mimics how a listener's heart rate responds to intensity."
E05,visual,Soft colored blobs spreading outward in the middle of the screen,"Sustained melodic content — the singing range, melody instruments, vocals","Energy in the 250 Hz - 4 kHz range (the human voice + most melodic instruments live here), gated by how harmonic the music is",librosa.feature.melspectrogram + librosa.effects.hpss,"Sustained notes don't ""strike"" — they bleed into each other. A blob that grows softly outward matches the temporal envelope of a held note far better than a sharp shape."
E06,visual,The melody blobs drift left and right as the song's chord changes,"The currently dominant musical pitch class (C, C#, D, ...)","A ""chroma vector"" extracts the strength of each of the 12 pitch classes from the audio every frame","librosa.feature.chroma_cqt — the standard pitch-class profile used in music key-detection algorithms (similar to Shazam-class song-matching)","Tying horizontal position to the song's key means a chord change visibly pans the melodic body — chord changes become directly readable as motion."
E07,visual,Blobs are round when the music is melodic and smear sideways when it gets noisy,"How harmonic (pitched) vs percussive/noisy the texture is",Harmonic-percussive ratio,librosa.effects.hpss,"Pitched sound is ""organized"" (well-defined frequency); noise is ""chaotic"" (energy spread across many frequencies). Round = organized; smeared = disorganized. Direct visual analog."
E08,visual,Blobs sit higher when the song feels positive and lower when it feels sad,"Emotional valence — positive vs negative emotional tone","A music emotion model trained on labeled musical examples scores the song's positive-vs-negative emotional character every half second","Backend emotion model (a small classifier trained on rated music; the same approach used in academic music-emotion research)","We naturally associate ""up"" with positive (""things are looking up"", ""spirits lifted"") and ""down"" with sadness. Vertical position is the most intuitive emotional encoding."
E09,visual,Horizontal flowing ribbons of color across the top of the screen,"Air, brilliance, presence — the high-frequency ""shimmer"" content (cymbals, hi-hats, vocal sibilance, the sparkle of a guitar or string)","Energy in the 4-10 kHz range from the Mel spectrogram",librosa.feature.melspectrogram,"High frequencies sit ""above"" in our perceptual map — they live in the head, not the gut. Flowing horizontal ribbons in the sky zone match both that spatial intuition and the ""airy, flowing"" character of the high-frequency band."
E10,visual,More aurora ribbons appear when the music is rich in layered tones,Combined energy and harmonic richness,Backend arousal estimate plus harmonic-percussive ratio,Emotion model + librosa.effects.hpss,"Rich harmonic content has many overlapping tones; visualizing as multiple stacked ribbons (each representing a tonal ""voice"") communicates that layering literally."
